datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,sub_metering_4
2007-01-01,2759.7380000000026,142.50799999999995,347092.8099999999,11489.19999999997,2461.0,2739.0,12355.0,28440.63330489998
2007-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-13,2885.378000000004,144.3459999999999,345233.8499999998,12174.599999999986,6506.0,340.0,9378.0,31865.63327719995
2007-01-14,2024.931999999999,120.10999999999997,346030.5699999997,8660.999999999987,5918.0,339.0,9738.0,17753.866691100004
2007-01-15,2686.912000000004,113.14399999999983,346621.6600000003,11363.400000000029,782.0,6883.0,14512.0,22604.866655200025
2007-01-16,2135.852000000003,128.93000000000006,346207.8899999998,9100.200000000006,1162.0,3430.0,9391.0,21614.5333622
2007-01-17,1572.2820000000024,116.71799999999976,347944.3099999999,6688.799999999989,1007.0,350.0,8657.0,16190.70003960002
2007-01-18,2186.9880000000016,119.28999999999994,345503.4199999996,9262.400000000027,1034.0,846.0,14983.0,19586.800013400007
2007-01-19,1980.3060000000005,134.9819999999999,345032.5299999995,8393.599999999988,2521.0,6054.0,8015.0,16415.099956399998
2007-01-20,1740.3679999999995,138.6140000000001,345520.14000000065,7414.399999999996,1775.0,380.0,4940.0,21911.133325700004
2007-01-21,1858.9980000000005,122.40000000000003,344973.2399999991,7947.400000000028,0.0,376.0,10447.0,20160.30002479996
2007-01-22,2325.0180000000005,143.46199999999973,345736.4799999993,9977.399999999992,4670.0,7640.0,7552.0,18888.300003100012
2007-01-23,1882.3080000000025,107.98400000000004,346906.15,7949.199999999984,1116.0,387.0,13359.0,16509.799995400033
2007-01-24,1645.021999999998,104.30599999999959,346722.0899999994,7038.599999999988,1107.0,320.0,5935.0,20055.033359499997
2007-01-25,2239.8559999999993,119.6259999999998,346615.8399999997,9423.399999999992,0.0,2421.0,11409.0,23500.933348499995
2007-01-26,2834.9880000000003,168.4220000000003,345254.7000000001,12048.00000000002,4925.0,311.0,15606.0,26407.80004230005
2007-01-27,2381.765999999999,140.75800000000024,347477.28999999986,10058.200000000004,3725.0,3818.0,7367.0,24786.100019399957
2007-01-28,2308.1959999999985,107.83600000000007,346272.16000000015,9748.200000000048,1142.0,280.0,12792.0,24255.933335499994
2007-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,1644.1059999999995,111.6659999999999,349081.12999999966,6869.400000000019,0.0,3094.0,8987.0,15320.766668999993
2007-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
