datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,sub_metering_4
2007-01-01 00:00:00,1.62,0.07,241.25,6.6,0.0,0.0,18.0,9.0
2007-01-01 00:01:00,1.626,0.072,241.74,6.6,0.0,0.0,18.0,9.1
2007-01-01 00:02:00,1.622,0.072,241.52,6.6,0.0,0.0,18.0,9.033333
2007-01-01 00:03:00,1.612,0.07,240.82,6.6,0.0,0.0,18.0,8.866667
2007-01-01 00:04:00,1.612,0.07,240.8,6.6,0.0,0.0,18.0,8.866667
2007-01-01 00:05:00,1.546,0.0,240.66,6.4,0.0,0.0,17.0,8.766666
2007-01-01 00:06:00,1.544,0.0,240.79,6.4,0.0,0.0,18.0,7.7333336
2007-01-01 00:07:00,1.55,0.0,241.33,6.4,0.0,0.0,18.0,7.833334
2007-01-01 00:08:00,1.548,0.0,241.23,6.4,0.0,0.0,18.0,7.799999
2007-01-01 00:09:00,1.548,0.0,241.27,6.4,0.0,0.0,18.0,7.799999
2007-01-01 00:10:00,1.55,0.0,241.42,6.4,0.0,0.0,18.0,7.833334
2007-01-01 00:11:00,1.544,0.0,240.93,6.4,0.0,0.0,17.0,8.733334
2007-01-01 00:12:00,1.542,0.0,240.71,6.4,0.0,0.0,18.0,7.700001
2007-01-01 00:13:00,1.53,0.0,239.7,6.4,0.0,0.0,18.0,7.5
2007-01-01 00:14:00,1.532,0.0,239.85,6.4,0.0,0.0,17.0,8.533333
2007-01-01 00:15:00,1.536,0.0,240.22,6.4,0.0,0.0,18.0,7.6000004
2007-01-01 00:16:00,1.54,0.0,240.55,6.4,0.0,0.0,18.0,7.666666
2007-01-01 00:17:00,1.53,0.0,239.63,6.4,0.0,0.0,18.0,7.5
2007-01-01 00:18:00,1.53,0.0,239.59,6.4,0.0,0.0,17.0,8.5
2007-01-01 00:19:00,1.532,0.0,239.76,6.4,0.0,0.0,18.0,7.533333
2007-01-01 00:20:00,1.534,0.0,239.96,6.4,0.0,0.0,17.0,8.566668
2007-01-01 00:21:00,1.534,0.0,239.96,6.4,0.0,0.0,18.0,7.5666676
2007-01-01 00:22:00,1.54,0.0,240.47,6.4,0.0,0.0,18.0,7.666666
2007-01-01 00:23:00,1.538,0.0,240.32,6.4,0.0,0.0,18.0,7.633333
2007-01-01 00:24:00,1.538,0.0,240.39,6.4,0.0,0.0,17.0,8.633333
2007-01-01 00:25:00,1.546,0.0,241.04,6.4,0.0,0.0,18.0,7.7666664
2007-01-01 00:26:00,1.594,0.0,241.15,6.6,0.0,0.0,18.0,8.566668
2007-01-01 00:27:00,1.652,0.098,240.65,6.8,0.0,0.0,18.0,9.533333
2007-01-01 00:28:00,1.646,0.098,240.4,6.8,0.0,0.0,17.0,10.433332
2007-01-01 00:29:00,1.646,0.098,240.63,6.8,0.0,0.0,18.0,9.433332
2007-01-01 00:30:00,1.652,0.1,241.14,6.8,0.0,0.0,18.0,9.533333
2007-01-01 00:31:00,1.646,0.1,240.76,6.8,0.0,0.0,18.0,9.433332
2007-01-01 00:32:00,1.648,0.1,241.08,6.8,0.0,0.0,18.0,9.466667
2007-01-01 00:33:00,1.64,0.098,240.51,6.8,0.0,0.0,17.0,10.333334
2007-01-01 00:34:00,1.65,0.102,241.39,6.8,0.0,0.0,18.0,9.5
2007-01-01 00:35:00,1.654,0.104,241.84,6.8,0.0,0.0,18.0,9.566668
2007-01-01 00:36:00,1.684,0.118,242.44,7.0,0.0,0.0,18.0,10.066668
2007-01-01 00:37:00,1.738,0.212,242.57,7.2,0.0,0.0,18.0,10.966667
2007-01-01 00:38:00,1.734,0.212,242.44,7.2,0.0,0.0,18.0,10.9
2007-01-01 00:39:00,1.728,0.208,242.03,7.2,0.0,0.0,18.0,10.799999
2007-01-01 00:40:00,1.73,0.21,242.26,7.2,0.0,0.0,18.0,10.833334
2007-01-01 00:41:00,1.726,0.208,242.05,7.2,0.0,0.0,18.0,10.766666
2007-01-01 00:42:00,1.674,0.13,242.55,6.8,0.0,0.0,18.0,9.9
2007-01-01 00:43:00,1.644,0.078,243.28,6.6,0.0,0.0,18.0,9.4
2007-01-01 00:44:00,1.65,0.078,243.73,6.6,0.0,0.0,19.0,8.5
2007-01-01 00:45:00,1.65,0.08,243.92,6.6,0.0,0.0,18.0,9.5
2007-01-01 00:46:00,1.618,0.0,243.42,6.6,0.0,0.0,18.0,8.966667
2007-01-01 00:47:00,1.582,0.0,243.94,6.4,0.0,0.0,18.0,8.366667
2007-01-01 00:48:00,1.584,0.0,244.16,6.4,0.0,0.0,19.0,7.3999996
2007-01-01 00:49:00,1.58,0.0,243.87,6.4,0.0,0.0,18.0,8.333334
2007-01-01 00:50:00,1.588,0.0,244.47,6.4,0.0,0.0,18.0,8.466667
2007-01-01 00:51:00,1.586,0.0,244.25,6.4,0.0,0.0,18.0,8.433332
2007-01-01 00:52:00,1.568,0.0,242.77,6.4,0.0,0.0,18.0,8.133333
2007-01-01 00:53:00,1.564,0.0,242.47,6.4,0.0,0.0,18.0,8.066668
2007-01-01 00:54:00,1.568,0.0,242.82,6.4,0.0,0.0,19.0,7.133333
2007-01-01 00:55:00,1.568,0.0,242.87,6.4,0.0,0.0,18.0,8.133333
2007-01-01 00:56:00,1.56,0.0,242.2,6.4,0.0,0.0,18.0,8.0
2007-01-01 00:57:00,1.548,0.0,241.16,6.4,0.0,0.0,17.0,8.799999
2007-01-01 00:58:00,1.546,0.0,241.03,6.4,0.0,0.0,18.0,7.7666664
2007-01-01 00:59:00,1.546,0.0,241.02,6.4,0.0,0.0,18.0,7.7666664
2007-01-01 01:00:00,1.542,0.0,240.58,6.4,0.0,0.0,18.0,7.700001
2007-01-01 01:01:00,1.542,0.0,240.7,6.4,0.0,0.0,18.0,7.700001
2007-01-01 01:02:00,1.544,0.0,240.81,6.4,0.0,0.0,17.0,8.733334
2007-01-01 01:03:00,1.59,0.0,241.59,6.6,0.0,0.0,18.0,8.5
2007-01-01 01:04:00,1.638,0.092,241.8,6.8,0.0,0.0,18.0,9.299999
2007-01-01 01:05:00,1.64,0.092,241.94,6.8,0.0,2.0,18.0,7.333334
2007-01-01 01:06:00,1.64,0.092,242.1,6.8,0.0,1.0,18.0,8.333334
2007-01-01 01:07:00,1.62,0.088,240.46,6.6,0.0,1.0,18.0,8.0
2007-01-01 01:08:00,1.614,0.084,239.77,6.6,0.0,2.0,18.0,6.8999996
2007-01-01 01:09:00,1.612,0.084,239.61,6.6,0.0,1.0,17.0,8.866667
2007-01-01 01:10:00,1.634,0.098,239.45,6.8,0.0,1.0,18.0,8.233334
2007-01-01 01:11:00,1.722,0.218,239.72,7.2,0.0,2.0,17.0,9.700001
2007-01-01 01:12:00,1.716,0.216,239.44,7.2,0.0,1.0,18.0,9.6
2007-01-01 01:13:00,1.712,0.216,239.33,7.2,0.0,2.0,18.0,8.533333
2007-01-01 01:14:00,1.718,0.218,239.91,7.2,0.0,1.0,17.0,10.633333
2007-01-01 01:15:00,1.714,0.218,239.78,7.2,0.0,1.0,18.0,9.566668
2007-01-01 01:16:00,1.714,0.218,239.87,7.2,0.0,2.0,17.0,9.566668
2007-01-01 01:17:00,1.72,0.222,240.6,7.2,0.0,1.0,18.0,9.666666
2007-01-01 01:18:00,1.716,0.22,240.4,7.2,0.0,1.0,18.0,9.6
2007-01-01 01:19:00,1.754,0.244,241.15,7.2,0.0,2.0,18.0,9.233334
2007-01-01 01:20:00,1.794,0.326,241.0,7.4,0.0,1.0,18.0,10.9
2007-01-01 01:21:00,1.79,0.326,240.82,7.4,0.0,1.0,17.0,11.833334
2007-01-01 01:22:00,1.784,0.324,240.5,7.4,0.0,2.0,18.0,9.733334
2007-01-01 01:23:00,1.782,0.324,240.49,7.4,0.0,1.0,18.0,10.700001
2007-01-01 01:24:00,1.778,0.322,240.28,7.4,0.0,1.0,18.0,10.633333
2007-01-01 01:25:00,1.72,0.226,240.77,7.2,0.0,0.0,17.0,11.666666
2007-01-01 01:26:00,1.638,0.11,240.31,6.8,0.0,0.0,18.0,9.299999
2007-01-01 01:27:00,1.602,0.068,239.95,6.6,0.0,0.0,18.0,8.700001
2007-01-01 01:28:00,1.604,0.068,240.04,6.6,0.0,0.0,17.0,9.733334
2007-01-01 01:29:00,1.562,0.0,240.27,6.4,0.0,0.0,18.0,8.033333
2007-01-01 01:30:00,1.542,0.0,240.63,6.4,0.0,0.0,18.0,7.700001
2007-01-01 01:31:00,1.544,0.0,240.77,6.4,0.0,0.0,18.0,7.7333336
2007-01-01 01:32:00,1.55,0.0,241.29,6.4,0.0,0.0,18.0,7.833334
2007-01-01 01:33:00,1.552,0.0,241.43,6.4,0.0,0.0,17.0,8.866667
2007-01-01 01:34:00,1.544,0.0,240.74,6.4,0.0,0.0,18.0,7.7333336
2007-01-01 01:35:00,1.53,0.0,239.55,6.4,0.0,0.0,18.0,7.5
2007-01-01 01:36:00,1.528,0.0,239.43,6.4,0.0,0.0,17.0,8.466667
2007-01-01 01:37:00,1.53,0.0,239.65,6.4,0.0,0.0,18.0,7.5
2007-01-01 01:38:00,1.542,0.0,240.61,6.4,0.0,0.0,18.0,7.700001
2007-01-01 01:39:00,1.544,0.0,240.82,6.4,0.0,0.0,18.0,7.7333336
2007-01-01 01:40:00,1.54,0.0,240.38,6.4,0.0,0.0,17.0,8.666666
2007-01-01 01:41:00,1.536,0.0,240.16,6.4,0.0,0.0,18.0,7.6000004
2007-01-01 01:42:00,1.536,0.0,240.21,6.4,0.0,0.0,18.0,7.6000004
2007-01-01 01:43:00,1.542,0.0,240.66,6.4,0.0,0.0,18.0,7.700001
2007-01-01 01:44:00,1.552,0.0,241.42,6.4,0.0,0.0,17.0,8.866667
2007-01-01 01:45:00,1.556,0.0,241.77,6.4,0.0,0.0,18.0,7.9333324
2007-01-01 01:46:00,1.556,0.0,241.84,6.4,0.0,0.0,18.0,7.9333324
2007-01-01 01:47:00,1.566,0.0,242.59,6.4,0.0,0.0,18.0,8.1
2007-01-01 01:48:00,1.562,0.0,242.24,6.4,0.0,0.0,18.0,8.033333
2007-01-01 01:49:00,1.56,0.0,242.21,6.4,0.0,0.0,18.0,8.0
2007-01-01 01:50:00,1.556,0.0,241.88,6.4,0.0,0.0,18.0,7.9333324
2007-01-01 01:51:00,1.556,0.0,241.8,6.4,0.0,0.0,18.0,7.9333324
2007-01-01 01:52:00,1.552,0.0,241.52,6.4,0.0,0.0,18.0,7.866667
2007-01-01 01:53:00,1.552,0.0,241.44,6.4,0.0,0.0,18.0,7.866667
2007-01-01 01:54:00,1.554,0.0,241.68,6.4,0.0,0.0,18.0,7.8999996
2007-01-01 01:55:00,1.678,0.106,241.58,6.8,0.0,0.0,18.0,9.966667
2007-01-01 01:56:00,1.658,0.102,241.23,6.8,0.0,0.0,18.0,9.633333
2007-01-01 01:57:00,1.648,0.1,240.62,6.8,0.0,0.0,17.0,10.466667
2007-01-01 01:58:00,1.664,0.106,242.04,6.8,0.0,0.0,18.0,9.733334
2007-01-01 01:59:00,1.688,0.114,244.2,6.8,0.0,0.0,19.0,9.133333
2007-01-01 02:00:00,1.678,0.112,243.42,6.8,0.0,0.0,18.0,9.966667
2007-01-01 02:01:00,1.678,0.112,243.56,6.8,0.0,0.0,18.0,9.966667
2007-01-01 02:02:00,1.682,0.112,243.91,6.8,0.0,0.0,18.0,10.033333
2007-01-01 02:03:00,1.742,0.184,243.38,7.2,0.0,0.0,18.0,11.033333
2007-01-01 02:04:00,1.732,0.212,242.19,7.2,0.0,0.0,18.0,10.866667
2007-01-01 02:05:00,1.726,0.208,241.65,7.2,0.0,0.0,18.0,10.766666
2007-01-01 02:06:00,1.724,0.208,241.63,7.2,0.0,0.0,18.0,10.733334
2007-01-01 02:07:00,1.724,0.208,241.7,7.2,0.0,0.0,18.0,10.733334
2007-01-01 02:08:00,1.732,0.212,242.53,7.2,0.0,0.0,18.0,10.866667
2007-01-01 02:09:00,1.736,0.214,242.97,7.2,0.0,0.0,18.0,10.933332
2007-01-01 02:10:00,1.656,0.098,243.07,6.8,0.0,0.0,18.0,9.6
2007-01-01 02:11:00,1.742,0.076,242.88,7.2,0.0,0.0,18.0,11.033333
2007-01-01 02:12:00,1.76,0.0,243.16,7.2,0.0,0.0,19.0,10.333334
2007-01-01 02:13:00,3.664,0.0,241.36,16.0,0.0,0.0,17.0,44.066666
2007-01-01 02:14:00,2.014,0.0,243.03,9.2,0.0,0.0,19.0,14.566666
2007-01-01 02:15:00,1.564,0.0,242.51,6.4,0.0,0.0,18.0,8.066668
2007-01-01 02:16:00,1.844,0.0,242.14,7.6,0.0,0.0,18.0,12.733334
2007-01-01 02:17:00,1.73,0.0,242.83,7.0,0.0,0.0,18.0,10.833334
2007-01-01 02:18:00,1.63,0.0,242.79,6.6,0.0,0.0,18.0,9.166666
