solar panels,male count,female count,baby,olders,employeed,income,district,squrefeet,units
No,2,2,0,1,2,"Between Rs. 200,000 and Rs. 300,000",Colombo,1000 to 1500 square feet,120
No,3,4,3,3,2,"Between Rs. 300,000 and Rs.400,000",Colombo,1500 to 2000 square feet,401
No,4,4,3,2,3,"Above Rs. 400,000",Colombo,More than 2000 square feet,420
No,4,4,3,2,3,"Above Rs. 400,000",Colombo,More than 2000 square feet,420
No,3,4,4,2,3,"Above Rs. 400,000",Gampaha,1500 to 2000 square feet,412
No,1,3,0,1,2,"Between Rs. 100,000 and Rs. 200,000",Gampaha,500 to 1000 square feet,115
No,3,4,1,3,3,"Between Rs. 300,000 and Rs.400,000",Colombo,"3,500 to 4,500 square feet",410
No,3,3,1,2,2,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"2,500 to 3,500 square feet",235
No,2,1,1,0,1,"Between Rs. 50,000 and Rs. 100,000",Colombo,"1,500 to 2,500 square feet",120
No,3,3,0,1,3,"Between Rs. 300,000 and Rs.400,000",Colombo,"More than 4,500 square feet",400
No,4,3,0,3,4,"Above Rs. 400,000",Colombo,"More than 4,500 square feet",413
No,4,3,1,2,5,"Above Rs. 400,000",Colombo,"3,500 to 4,500 square feet",412
No,3,5,4,2,1,"Above Rs. 400,000",Colombo,"More than 4,500 square feet",400
No,2,2,0,0,2,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"1,500 to 2,500 square feet",220
No,2,2,1,1,1,"Between Rs. 50,000 and Rs. 100,000",Colombo,"Less than 1,500 square feet",150
No,3,3,0,1,2,"Between Rs. 300,000 and Rs.400,000",Colombo,"3,500 to 4,500 square feet",400
No,3,2,1,0,2,"Between Rs. 200,000 and Rs. 300,000",Kaluthara,"2,500 to 3,500 square feet",230
No,3,4,0,2,4,"Above Rs. 400,000",Colombo,"More than 4,500 square feet",430
No,3,5,0,2,4,"Above Rs. 400,000",Colombo,"More than 4,500 square feet",409
No,2,5,1,1,2,"Above Rs. 400,000",Colombo,"3,500 to 4,500 square feet",400
No,2,3,0,2,1,"Between Rs. 200,000 and Rs. 300,000",Kaluthara,"2,500 to 3,500 square feet",249
No,3,4,0,2,4,"Above Rs. 400,000",Colombo,"More than 4,500 square feet",400
No,4,3,0,0,5,"Above Rs. 400,000",Colombo,"More than 4,500 square feet",420
No,2,2,0,0,2,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"1,500 to 2,500 square feet",232
No,3,4,0,1,4,"Above Rs. 400,000",Gampaha,"More than 4,500 square feet",400
No,5,2,0,3,3,"Above Rs. 400,000",Colombo,"3,500 to 4,500 square feet",420
No,3,3,1,0,2,"Between Rs. 300,000 and Rs.400,000",Colombo,"3,500 to 4,500 square feet",426
No,3,2,2,0,1,"Between Rs. 200,000 and Rs. 300,000",Kaluthara,"2,500 to 3,500 square feet",249
No,5,3,3,0,1,"Between Rs. 300,000 and Rs.400,000",Gampaha,"3,500 to 4,500 square feet",390
No,2,3,1,1,2,"Between Rs. 100,000 and Rs. 200,000",Kaluthara,"1,500 to 2,500 square feet",202
No,2,5,0,0,2,"Above Rs. 400,000",Colombo,"3,500 to 4,500 square feet",390
No,2,4,1,0,5,"Between Rs. 300,000 and Rs.400,000",Gampaha,"More than 4,500 square feet",409
No,1,2,1,0,1,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"1,500 to 2,500 square feet",112
No,3,4,2,1,2,"Above Rs. 400,000",Gampaha,"3,500 to 4,500 square feet",400
No,4,4,2,2,2,"Between Rs. 300,000 and Rs.400,000",Colombo,"3,500 to 4,500 square feet",423
No,1,3,0,0,2,"Below Rs. 50,000",Gampaha,"Less than 1,500 square feet",162
No,2,3,2,1,2,"Between Rs. 100,000 and Rs. 200,000",Kaluthara,"2,500 to 3,500 square feet",230
No,3,4,2,1,2,"Between Rs. 300,000 and Rs.400,000",Colombo,"More than 4,500 square feet",401
No,2,2,0,0,2,"Between Rs. 100,000 and Rs. 200,000",Colombo,"2,500 to 3,500 square feet",245
No,1,1,0,0,1,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",221
No,2,2,1,0,1,"Below Rs. 50,000",Colombo,"Less than 1,500 square feet",162
No,1,1,0,0,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"Less than 1,500 square feet",162
No,1,2,0,1,2,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"1,500 to 2,500 square feet",143
No,3,3,2,2,2,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"2,500 to 3,500 square feet",239
No,2,3,1,0,2,"Between Rs. 50,000 and Rs. 100,000",Kaluthara,"1,500 to 2,500 square feet",162
No,1,2,0,1,1,"Below Rs. 50,000",Gampaha,"Less than 1,500 square feet",162
No,1,2,0,0,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",129
No,3,3,1,3,2,"Between Rs. 300,000 and Rs.400,000",Colombo,"3,500 to 4,500 square feet",390
No,1,2,0,1,2,"Between Rs. 50,000 and Rs. 100,000",Colombo,"Less than 1,500 square feet",162
Yes,2,3,0,0,1,"Between Rs. 300,000 and Rs.400,000",Colombo,"2,500 to 3,500 square feet",320
No,2,3,3,0,2,"Between Rs. 100,000 and Rs. 200,000",Colombo,"2,500 to 3,500 square feet",239
No,2,1,0,0,1,"Below Rs. 50,000",Colombo,"Less than 1,500 square feet",162
No,2,1,0,1,1,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"Less than 1,500 square feet",123
No,2,1,0,0,1,"Between Rs. 50,000 and Rs. 100,000",Colombo,"1,500 to 2,500 square feet",213
No,2,1,0,0,1,"Between Rs. 50,000 and Rs. 100,000",Kaluthara,"Less than 1,500 square feet",162
No,2,1,2,0,1,"Between Rs. 100,000 and Rs. 200,000",Colombo,"1,500 to 2,500 square feet",250
No,1,2,0,0,1,"Below Rs. 50,000",Gampaha,"Less than 1,500 square feet",111
No,2,2,1,0,2,"Below Rs. 50,000",Gampaha,"Less than 1,500 square feet",163
No,2,3,0,2,2,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"2,500 to 3,500 square feet",267
No,2,4,1,0,5,"Between Rs. 300,000 and Rs.400,000",Gampaha,"More than 4,500 square feet",409
No,2,1,1,0,1,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",162
No,1,2,1,1,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",126
No,2,2,0,0,1,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",230
No,2,4,0,0,2,"Between Rs. 300,000 and Rs.400,000",Colombo,"More than 4,500 square feet",410
No,2,2,1,1,2,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"2,500 to 3,500 square feet",245
No,5,4,0,4,3,"Between Rs. 300,000 and Rs.400,000",Colombo,"More than 4,500 square feet",440
No,2,2,1,1,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"2,500 to 3,500 square feet",134
No,1,2,0,1,1,"Below Rs. 50,000",Gampaha,"Less than 1,500 square feet",121
No,3,2,1,1,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",163
No,4,4,0,3,3,"Above Rs. 400,000",Colombo,"More than 4,500 square feet",390
No,1,2,1,1,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"Less than 1,500 square feet",120
No,1,1,0,0,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"Less than 1,500 square feet",162
No,2,1,1,0,1,"Below Rs. 50,000",Gampaha,"1,500 to 2,500 square feet",123
No,2,2,2,1,1,"Between Rs. 100,000 and Rs. 200,000",Kaluthara,"1,500 to 2,500 square feet",220
No,2,2,0,1,1,"Below Rs. 50,000",Kaluthara,"Less than 1,500 square feet",166
No,2,1,0,0,1,"Below Rs. 50,000",Gampaha,"Less than 1,500 square feet",127
No,1,2,1,0,1,"Below Rs. 50,000",Gampaha,"Less than 1,500 square feet",142
Yes,2,1,0,0,1,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",150
No,2,1,1,1,2,"Below Rs. 50,000",Gampaha,"1,500 to 2,500 square feet",100
Yes,1,2,1,2,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"Less than 1,500 square feet",130
No,3,4,1,0,2,"Between Rs. 300,000 and Rs.400,000",Gampaha,"More than 4,500 square feet",400
Yes,2,2,2,2,1,"Below Rs. 50,000",Jaffna,"1,500 to 2,500 square feet",100
No,2,1,1,1,1,"Below Rs. 50,000",Gampaha,"1,500 to 2,500 square feet",121
No,3,5,0,3,3,"Above Rs. 400,000",Colombo,"More than 4,500 square feet",420
