Solar,Male,Female,children,Adult,Employee,Income,District,landSize,AirCondioner,Fan,Micro,TV,Refig,Iron,Geyser,WashingMaching,Profile,Units
0,2,2,0,0,2,3,7,2,1,2,1,1,1,1,0,0,2,209.3333333
0,2,2,1,1,3,4,5,3,1,2,1,1,1,1,1,1,2,402.0666667
0,5,3,2,2,4,6,5,5,4,3,2,2,1,2,2,2,3,620.8333333
0,2,2,1,1,2,3,7,2,0,2,0,1,1,2,1,1,2,175.8333333
0,3,3,1,1,2,3,10,2,1,1,1,1,1,1,1,1,2,222.0833333
0,1,0,0,0,1,1,7,1,0,1,0,0,0,1,0,0,0,20.0833333
0,2,1,1,0,1,2,5,1,0,1,0,1,0,1,0,0,0,116.25
0,1,2,0,0,2,2,5,1,0,1,0,1,1,1,0,0,0,154.75
0,2,0,0,0,2,2,7,1,0,1,0,0,0,1,0,0,0,34.25
0,3,2,1,0,3,4,5,4,2,3,0,2,1,2,1,2,2,420.25
0,2,2,0,0,2,6,10,6,3,2,1,2,1,3,2,2,3,450.0833333
0,2,2,0,2,3,3,10,3,1,1,0,1,1,1,0,1,2,175
0,1,2,2,0,3,3,7,3,2,1,1,2,1,2,1,1,2,323.4066667
0,3,4,2,3,2,6,5,6,3,4,1,1,2,1,2,2,3,444.75
0,1,1,1,1,2,2,7,1,0,1,0,1,1,1,0,0,0,78.0833333
0,3,4,3,2,4,4,5,4,3,3,1,2,1,3,2,2,3,447.6666667
0,3,4,2,2,3,5,7,5,4,4,1,1,2,2,2,2,3,441.5
0,1,1,0,0,1,1,10,1,0,1,0,1,1,1,0,0,0,124.3333333
0,1,1,1,1,2,2,5,1,0,1,0,0,1,1,0,0,0,99.9066667
0,0,2,1,1,2,2,5,1,0,1,0,1,1,1,0,0,0,148.8333333
0,1,2,1,1,2,3,10,3,0,1,1,2,1,2,1,1,2,250.6666667
0,4,5,3,2,5,6,5,6,4,4,2,2,2,1,2,2,3,508.3333333
0,2,2,1,1,3,4,5,4,1,1,0,0,0,0,0,1,2,402.4066667
0,1,2,0,1,1,3,7,2,1,1,1,1,1,1,1,1,2,204.25
0,2,2,1,0,1,3,7,2,1,1,1,1,2,1,1,1,2,239.75
0,1,1,1,1,2,2,5,2,0,1,1,1,1,1,0,1,0,108.75
0,1,2,0,0,2,3,10,3,0,1,1,1,1,0,0,0,0,137.4066667
0,1,0,0,1,1,2,7,1,0,1,2,1,1,3,0,1,0,98
0,2,2,1,1,4,4,5,5,1,1,2,2,2,3,1,1,2,400.75
0,2,2,1,2,2,3,7,3,2,1,1,2,1,4,1,1,2,345.0666667
0,4,5,2,2,5,5,5,3,4,3,2,2,2,2,2,2,3,447.3333333
0,5,5,2,3,6,6,7,5,5,4,2,2,2,4,3,2,3,495.4066667
0,0,2,0,0,1,2,7,1,0,1,0,0,0,1,0,0,0,75.3333333
0,2,2,1,1,3,3,5,3,1,2,1,3,1,3,1,1,2,359.0833333
0,0,3,1,1,3,3,5,3,1,1,3,2,2,3,1,2,1,309.6666667
0,0,2,0,0,2,1,5,1,0,1,0,0,0,1,0,0,0,84.0833333
0,2,1,2,0,2,2,2,2,0,2,0,2,2,0,0,0,0,105.75
0,4,4,2,3,4,6,7,5,5,4,3,3,2,2,3,2,3,483.5
0,5,4,3,2,5,6,7,6,4,3,2,3,2,2,2,2,3,468.5833333
0,5,5,3,3,6,6,5,6,5,3,3,2,2,3,2,2,3,577.75
