datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,sub_metering_4
2007-01-16 00:00:00,1.62,0.164,243.03,7.6,0.0,21.0,0.0,6.0
2007-01-16 00:01:00,1.612,0.156,243.25,7.0,0.0,23.0,0.0,3.8666668
2007-01-16 00:02:00,0.582,0.184,244.71,2.8,0.0,6.0,0.0,3.6999998
2007-01-16 00:03:00,0.508,0.184,245.8,2.2,0.0,4.0,0.0,4.466667
2007-01-16 00:04:00,0.49,0.198,246.59,2.2,0.0,3.0,0.0,5.166667
2007-01-16 00:05:00,0.51,0.19,246.88,2.2,0.0,3.0,0.0,5.5
2007-01-16 00:06:00,0.484,0.194,247.1,2.2,0.0,4.0,0.0,4.0666666
2007-01-16 00:07:00,0.44,0.08,246.81,1.8,0.0,3.0,0.0,4.3333335
2007-01-16 00:08:00,0.418,0.09,246.94,1.8,0.0,4.0,0.0,2.9666667
2007-01-16 00:09:00,0.44,0.084,247.18,1.8,0.0,3.0,0.0,4.3333335
2007-01-16 00:10:00,0.26,0.0,247.14,1.2,0.0,1.0,0.0,3.3333335
2007-01-16 00:11:00,0.324,0.13,246.54,1.4,0.0,0.0,0.0,5.4
2007-01-16 00:12:00,0.352,0.158,246.38,1.6,0.0,0.0,0.0,5.866667
2007-01-16 00:13:00,0.338,0.156,246.6,1.6,0.0,0.0,0.0,5.633333
2007-01-16 00:14:00,0.338,0.16,246.9,1.6,0.0,1.0,0.0,4.633333
2007-01-16 00:15:00,0.344,0.16,246.66,1.6,0.0,0.0,0.0,5.733333
2007-01-16 00:16:00,0.32,0.148,245.1,1.4,0.0,0.0,0.0,5.3333335
2007-01-16 00:17:00,0.336,0.146,244.07,1.4,0.0,0.0,0.0,5.6
2007-01-16 00:18:00,0.316,0.142,244.08,1.4,0.0,0.0,0.0,5.266667
2007-01-16 00:19:00,0.334,0.146,244.13,1.4,0.0,1.0,0.0,4.5666666
2007-01-16 00:20:00,0.312,0.138,243.59,1.4,0.0,0.0,0.0,5.2
2007-01-16 00:21:00,0.332,0.144,243.83,1.4,0.0,0.0,0.0,5.5333333
2007-01-16 00:22:00,0.314,0.144,244.74,1.4,0.0,0.0,0.0,5.233333
2007-01-16 00:23:00,0.332,0.15,244.95,1.4,0.0,0.0,0.0,5.5333333
2007-01-16 00:24:00,0.254,0.06,245.63,1.2,0.0,0.0,0.0,4.2333336
2007-01-16 00:25:00,0.24,0.0,246.02,1.0,0.0,1.0,0.0,3.0
2007-01-16 00:26:00,0.218,0.0,245.12,1.0,0.0,0.0,0.0,3.6333334
2007-01-16 00:27:00,0.236,0.0,244.19,1.0,0.0,0.0,0.0,3.9333334
2007-01-16 00:28:00,0.216,0.0,243.82,1.0,0.0,0.0,0.0,3.6
2007-01-16 00:29:00,0.236,0.0,243.87,1.0,0.0,0.0,0.0,3.9333334
2007-01-16 00:30:00,0.218,0.0,244.46,1.0,0.0,0.0,0.0,3.6333334
2007-01-16 00:31:00,0.238,0.0,245.27,1.0,0.0,1.0,0.0,2.9666667
2007-01-16 00:32:00,0.22,0.0,245.74,1.0,0.0,0.0,0.0,3.6666667
2007-01-16 00:33:00,0.24,0.0,246.06,1.0,0.0,0.0,0.0,4.0
2007-01-16 00:34:00,0.218,0.0,245.2,1.0,0.0,0.0,0.0,3.6333334
2007-01-16 00:35:00,0.236,0.0,244.53,1.0,0.0,0.0,0.0,3.9333334
2007-01-16 00:36:00,0.216,0.0,243.99,1.0,0.0,0.0,0.0,3.6
2007-01-16 00:37:00,0.236,0.0,243.94,1.0,0.0,1.0,0.0,2.9333334
2007-01-16 00:38:00,0.218,0.0,244.7,1.0,0.0,0.0,0.0,3.6333334
2007-01-16 00:39:00,0.238,0.0,244.8,1.0,0.0,0.0,0.0,3.9666667
2007-01-16 00:40:00,0.218,0.0,245.03,1.0,0.0,0.0,0.0,3.6333334
2007-01-16 00:41:00,0.236,0.0,244.75,1.0,0.0,0.0,0.0,3.9333334
2007-01-16 00:42:00,0.284,0.074,244.45,1.4,0.0,0.0,0.0,4.733333
2007-01-16 00:43:00,0.312,0.114,244.31,1.4,0.0,1.0,0.0,4.2
2007-01-16 00:44:00,0.308,0.112,244.5,1.4,0.0,0.0,0.0,5.133333
2007-01-16 00:45:00,0.326,0.126,244.49,1.6,0.0,0.0,0.0,5.4333334
2007-01-16 00:46:00,0.4,0.242,244.51,1.8,0.0,2.0,0.0,4.6666665
2007-01-16 00:47:00,0.504,0.38,244.94,2.6,0.0,1.0,0.0,7.3999996
2007-01-16 00:48:00,0.508,0.388,245.43,2.6,0.0,2.0,0.0,6.466667
2007-01-16 00:49:00,0.484,0.382,245.25,2.4,0.0,2.0,0.0,6.0666666
2007-01-16 00:50:00,0.498,0.38,244.36,2.6,0.0,1.0,0.0,7.3
2007-01-16 00:51:00,0.476,0.372,243.8,2.4,0.0,2.0,0.0,5.9333334
2007-01-16 00:52:00,0.492,0.376,243.86,2.4,0.0,2.0,0.0,6.2
2007-01-16 00:53:00,0.416,0.286,244.0,2.0,0.0,1.0,0.0,5.9333334
2007-01-16 00:54:00,0.42,0.27,243.94,2.0,0.0,2.0,0.0,5.0
2007-01-16 00:55:00,0.4,0.272,244.73,2.0,0.0,1.0,0.0,5.6666665
2007-01-16 00:56:00,0.42,0.28,245.44,2.0,0.0,2.0,0.0,5.0
2007-01-16 00:57:00,0.398,0.276,245.53,2.0,0.0,1.0,0.0,5.633333
2007-01-16 00:58:00,0.416,0.28,245.25,2.0,0.0,2.0,0.0,4.9333334
2007-01-16 00:59:00,0.392,0.27,245.32,1.8,0.0,2.0,0.0,4.5333333
2007-01-16 01:00:00,0.32,0.142,245.66,1.4,0.0,1.0,0.0,4.3333335
2007-01-16 01:01:00,0.298,0.138,245.87,1.4,0.0,1.0,0.0,3.9666667
2007-01-16 01:02:00,0.314,0.136,244.71,1.4,0.0,2.0,0.0,3.233333
2007-01-16 01:03:00,0.294,0.13,244.27,1.2,0.0,1.0,0.0,3.9
2007-01-16 01:04:00,0.312,0.134,244.11,1.4,0.0,2.0,0.0,3.1999998
2007-01-16 01:05:00,0.226,0.0,244.23,1.0,0.0,0.0,0.0,3.7666667
2007-01-16 01:06:00,0.236,0.0,243.61,1.0,0.0,1.0,0.0,2.9333334
2007-01-16 01:07:00,0.212,0.0,241.87,0.8,0.0,0.0,0.0,3.5333333
2007-01-16 01:08:00,0.232,0.0,241.59,1.0,0.0,0.0,0.0,3.8666666
2007-01-16 01:09:00,0.288,0.0,241.42,1.2,0.0,1.0,0.0,3.8000002
2007-01-16 01:10:00,0.43,0.062,242.28,1.8,0.0,4.0,0.0,3.1666665
2007-01-16 01:11:00,0.428,0.066,242.27,1.8,0.0,3.0,0.0,4.133333
2007-01-16 01:12:00,0.426,0.062,242.4,1.8,0.0,4.0,0.0,3.1
2007-01-16 01:13:00,0.43,0.072,243.5,1.8,0.0,3.0,0.0,4.1666665
2007-01-16 01:14:00,0.444,0.064,243.13,1.8,0.0,4.0,0.0,3.4
2007-01-16 01:15:00,0.606,0.068,243.29,2.4,0.0,3.0,0.0,7.1000004
2007-01-16 01:16:00,0.454,0.066,243.47,1.8,0.0,4.0,0.0,3.5666666
2007-01-16 01:17:00,0.366,0.0,242.79,1.6,0.0,3.0,0.0,3.1
2007-01-16 01:18:00,0.214,0.0,242.3,0.8,0.0,0.0,0.0,3.5666666
2007-01-16 01:19:00,0.232,0.0,242.15,1.0,0.0,0.0,0.0,3.8666666
2007-01-16 01:20:00,0.212,0.0,241.68,0.8,0.0,0.0,0.0,3.5333333
2007-01-16 01:21:00,0.23,0.0,240.99,1.0,0.0,0.0,0.0,3.8333333
2007-01-16 01:22:00,0.252,0.0,240.87,1.2,0.0,0.0,0.0,4.2
2007-01-16 01:23:00,0.342,0.13,241.13,1.6,0.0,1.0,0.0,4.7
2007-01-16 01:24:00,0.318,0.124,240.75,1.4,0.0,0.0,0.0,5.3
2007-01-16 01:25:00,0.336,0.132,241.24,1.4,0.0,0.0,0.0,5.6
2007-01-16 01:26:00,0.314,0.124,240.79,1.4,0.0,0.0,0.0,5.233333
2007-01-16 01:27:00,0.33,0.128,240.46,1.4,0.0,0.0,0.0,5.5
2007-01-16 01:28:00,0.354,0.16,240.24,1.8,0.0,0.0,0.0,5.9
2007-01-16 01:29:00,0.404,0.23,240.33,2.0,0.0,1.0,0.0,5.733333
2007-01-16 01:30:00,0.384,0.228,240.51,1.8,0.0,0.0,0.0,6.4
2007-01-16 01:31:00,0.402,0.232,240.46,2.0,0.0,0.0,0.0,6.7
2007-01-16 01:32:00,0.384,0.23,240.89,1.8,0.0,0.0,0.0,6.4
2007-01-16 01:33:00,0.402,0.236,241.25,2.0,0.0,0.0,0.0,6.7
2007-01-16 01:34:00,0.38,0.232,241.29,1.8,0.0,0.0,0.0,6.3333335
2007-01-16 01:35:00,0.374,0.202,241.45,1.8,0.0,1.0,0.0,5.233333
2007-01-16 01:36:00,0.284,0.1,241.55,1.2,0.0,0.0,0.0,4.733333
2007-01-16 01:37:00,0.302,0.104,241.62,1.4,0.0,0.0,0.0,5.0333333
2007-01-16 01:38:00,0.294,0.102,241.46,1.2,0.0,0.0,0.0,4.9
2007-01-16 01:39:00,0.25,0.0,240.91,1.0,0.0,0.0,0.0,4.1666665
2007-01-16 01:40:00,0.232,0.0,241.71,1.0,0.0,0.0,0.0,3.8666666
2007-01-16 01:41:00,0.214,0.0,241.97,0.8,0.0,0.0,0.0,3.5666666
2007-01-16 01:42:00,0.232,0.0,241.96,1.0,0.0,1.0,0.0,2.8666666
2007-01-16 01:43:00,0.214,0.0,242.04,0.8,0.0,0.0,0.0,3.5666666
2007-01-16 01:44:00,0.232,0.0,241.95,1.0,0.0,0.0,0.0,3.8666666
2007-01-16 01:45:00,0.214,0.0,242.44,0.8,0.0,0.0,0.0,3.5666666
2007-01-16 01:46:00,0.234,0.0,242.62,1.0,0.0,0.0,0.0,3.9
2007-01-16 01:47:00,0.216,0.0,243.45,0.8,0.0,0.0,0.0,3.6
2007-01-16 01:48:00,0.234,0.0,243.22,1.0,0.0,1.0,0.0,2.9
2007-01-16 01:49:00,0.216,0.0,243.55,1.0,0.0,0.0,0.0,3.6
2007-01-16 01:50:00,0.234,0.0,243.37,1.0,0.0,0.0,0.0,3.9
2007-01-16 01:51:00,0.216,0.0,243.41,1.0,0.0,0.0,0.0,3.6
2007-01-16 01:52:00,0.234,0.0,242.93,1.0,0.0,0.0,0.0,3.9
2007-01-16 01:53:00,0.216,0.0,243.15,0.8,0.0,0.0,0.0,3.6
2007-01-16 01:54:00,0.234,0.0,242.99,1.0,0.0,1.0,0.0,2.9
2007-01-16 01:55:00,0.216,0.0,243.72,1.0,0.0,0.0,0.0,3.6
2007-01-16 01:56:00,0.236,0.0,243.86,1.0,0.0,0.0,0.0,3.9333334
2007-01-16 01:57:00,0.216,0.0,243.54,0.8,0.0,0.0,0.0,3.6
2007-01-16 01:58:00,0.282,0.05,243.06,1.4,0.0,0.0,0.0,4.7
2007-01-16 01:59:00,0.324,0.132,242.23,1.4,0.0,0.0,0.0,5.4
2007-01-16 02:00:00,0.34,0.136,242.12,1.6,0.0,1.0,0.0,4.6666665
2007-01-16 02:01:00,0.32,0.138,243.19,1.4,0.0,0.0,0.0,5.3333335
2007-01-16 02:02:00,0.342,0.148,244.27,1.6,0.0,0.0,0.0,5.7
2007-01-16 02:03:00,0.32,0.142,244.12,1.4,0.0,0.0,0.0,5.3333335
2007-01-16 02:04:00,0.338,0.15,244.65,1.6,0.0,0.0,0.0,5.633333
2007-01-16 02:05:00,0.318,0.144,244.62,1.4,0.0,0.0,0.0,5.3
2007-01-16 02:06:00,0.336,0.15,244.74,1.6,0.0,1.0,0.0,4.6
2007-01-16 02:07:00,0.316,0.142,244.22,1.4,0.0,0.0,0.0,5.266667
2007-01-16 02:08:00,0.334,0.148,244.46,1.4,0.0,0.0,0.0,5.5666666
2007-01-16 02:09:00,0.328,0.146,244.24,1.4,0.0,0.0,0.0,5.4666667
