datetime,Global_active_power
1/1/2007,2749.004
1/2/2007,1269.236
1/3/2007,1014.054
1/4/2007,3259.412
1/5/2007,2713.364
1/6/2007,1508.378
1/7/2007,2447.62
1/8/2007,2241.36
1/9/2007,1869.054
1/10/2007,2154.8
1/11/2007,2255.194
1/12/2007,1461.296
1/13/2007,3186.814
1/14/2007,3009.442
1/15/2007,2148.678
1/16/2007,1686.404
1/17/2007,2847.688
1/18/2007,1821.462
1/19/2007,1480.44
1/20/2007,3133.732
1/21/2007,3407.262
1/22/2007,2180.494
1/23/2007,1777.64
1/24/2007,2987.854
1/25/2007,1596.344
1/26/2007,1617.972
1/27/2007,2044.072
1/28/2007,3091.588
1/29/2007,1982.664
1/30/2007,1707.798
1/31/2007,2363.752
2/1/2007,1824.76
2/2/2007,1667.736
2/3/2007,4029.722
2/4/2007,3595.94
2/5/2007,1645.28
2/6/2007,1273.48
2/7/2007,2328.018
2/8/2007,1801.414
2/9/2007,1620.198
2/10/2007,2829.328
2/11/2007,3571.228
2/12/2007,1877.61
2/13/2007,1414.546
2/14/2007,2498.672
2/15/2007,1985.346
2/16/2007,1702.528
2/17/2007,2076.912
2/18/2007,3829.762
2/19/2007,2186.614
2/20/2007,3149.928
2/21/2007,2072.874
2/22/2007,3374.356
2/23/2007,1313.48
2/24/2007,714.922
2/25/2007,501.74
2/26/2007,568.484
2/27/2007,518.112
2/28/2007,520.774
3/1/2007,517.564
3/2/2007,515.688
3/3/2007,819.122
3/4/2007,2090.7
3/5/2007,2660.332
3/6/2007,1246.5
3/7/2007,2375.206
3/8/2007,1572.132
3/9/2007,1272.612
3/10/2007,2484.712
3/11/2007,3480.636
3/12/2007,1950.668
3/13/2007,1290.144
3/14/2007,1793.364
3/15/2007,1884.814
3/16/2007,1702.054
3/17/2007,2028.09
3/18/2007,2371.046
3/19/2007,2152.518
3/20/2007,2086.228
3/21/2007,2142.092
3/22/2007,1454.978
3/23/2007,1309.008
3/24/2007,2968.43
3/25/2007,3338.404
3/26/2007,1416.082
3/27/2007,1105.14
3/28/2007,2333.898
3/29/2007,1590.406
3/30/2007,1402.394
3/31/2007,3509.51
